purchase_frequency_monthly,avg_order_value_usd,tenure_months,customer_segment,product_category_preference,channel_preference,promotion_sensitivity,service_interactions,referral_count,geographic_region,demographic_segment,satisfaction_score,clv_usd
4.039001543671011,,35.0,Churned,Multiple Categories,Both,,12.0,3.0,West,Young Adults,6.7597804819378915,13878.341559850478
2.4970311813768356,287.99359971698715,47.0,Regular,Single Category,Online,Low,1.0,4.0,North,Families,1.0187617438235566,12336.303697024181
3.9076083203202145,492.209360967929,47.0,Churned,Multiple Categories,Both,Low,14.0,2.0,West,Families,5.2491995281366695,45066.00291875513
0.7439408039567659,191.84392272685142,11.0,VIP,Multiple Categories,Online,Medium,4.0,3.0,International,Retirees,9.862715924365833,
2.9797859435106897,,26.0,New,Single Category,Both,Medium,18.0,1.0,East,Families,4.422636230687727,21719.51728160661
6.582149197084042,348.98675666288415,21.0,Churned,Single Category,Online,Medium,17.0,6.0,International,Professionals,2.931189632251558,23393.821945398216
4.785714448291924,75.06684368955587,5.0,Churned,Multiple Categories,Online,Low,5.0,7.0,International,Retirees,8.187559243639981,2271.63479602969
1.078952011694207,409.1375678903289,36.0,VIP,Single Category,Online,High,18.0,1.0,East,Families,6.050999910141483,43830.51746017738
4.66052105585401,110.26322827254135,37.0,New,Multiple Categories,Both,High,5.0,,International,Families,2.00444710452116,
5.41848592551108,220.35201877116478,23.0,Regular,Multiple Categories,Both,Low,4.0,4.0,West,Families,7.6468642317784035,33454.39606155396
0.7310928751539378,82.10395317931238,71.0,New,Multiple Categories,,Medium,11.0,7.0,International,Professionals,5.313211278946021,11573.19594157897
4.8898221975099965,71.69110343089446,24.0,New,Multiple Categories,Both,,17.0,5.0,East,Families,9.89842748086687,41800.56842462042
5.153184604957784,243.6333048511141,19.0,Regular,,Both,Low,0.0,,North,Professionals,6.825105551356156,30790.98958822404
5.016865128066603,279.7457341059262,51.0,Churned,Single Category,Both,,12.0,2.0,West,Families,2.7739922772525207,28461.42517183681
6.854578872938333,,37.0,Regular,Single Category,Store,High,8.0,2.0,International,Retirees,2.69593034642631,49026.37209369504
4.2924002207770515,173.1807617564164,6.0,Regular,Multiple Categories,Store,Low,12.0,5.0,West,Professionals,9.330209178246925,9472.79968295341
6.096910218869794,229.87936216289958,47.0,New,Multiple Categories,Store,Medium,1.0,9.0,West,Families,1.22519070800992,19437.083415112997
6.630851506172396,431.82181266613856,9.0,VIP,Single Category,Store,Medium,1.0,2.0,West,,8.867290403211676,20075.04763253652
,490.84852791493347,5.0,Regular,Multiple Categories,Store,Low,13.0,0.0,North,Professionals,5.268762189804546,30759.291873737024
4.239513909550763,419.9689437747627,7.0,VIP,Multiple Categories,Online,High,16.0,2.0,North,Retirees,2.4943904486933364,5919.17318349953
7.594569002837194,335.2607186144532,67.0,,Single Category,Both,Low,1.0,3.0,West,Professionals,9.012572718216449,1525.0824109618281
7.845017211596127,428.10846720852174,38.0,Regular,Multiple Categories,Both,High,13.0,4.0,West,Young Adults,1.4936602574870572,43434.704954995206
4.499293300980239,348.5915427432566,30.0,VIP,Single Category,Both,High,1.0,9.0,North,Retirees,3.448652019115915,33595.22626452251
5.595679433056369,33.6656042438377,50.0,VIP,Single Category,Online,High,4.0,0.0,South,Young Adults,5.740862520480286,
3.4127480233432532,374.8686082643711,42.0,Regular,Multiple Categories,Online,Medium,,5.0,North,Professionals,1.7592425735993946,
2.1829752869594454,291.0550751884382,24.0,New,Single Category,Store,,,2.0,West,Young Adults,4.993225708320526,16907.14505137733
2.2998025493737746,414.69352095691113,53.0,New,Single Category,Both,Medium,13.0,6.0,East,Professionals,3.814982045420952,38572.748033787975
6.031589135003759,264.2282409908556,,VIP,Single Category,Store,Medium,8.0,2.0,South,Retirees,2.0089553890836345,41152.19194327824
6.977590363084292,449.58728719110087,19.0,New,Multiple Categories,Store,Medium,13.0,1.0,West,Young Adults,9.682963725968587,10257.420674191384
5.459690472202573,26.89360574176657,19.0,Churned,Multiple Categories,Both,,8.0,5.0,North,Professionals,5.26156493501879,20680.370477225526
1.5978139724500038,304.08372152300865,9.0,VIP,Multiple Categories,Both,Medium,7.0,9.0,International,Professionals,8.102830359694568,38574.17255273323
2.1854995990995123,440.32954435832227,11.0,Churned,Multiple Categories,Online,Low,19.0,0.0,West,Families,4.731496991082162,45364.95219103268
,496.6444074715938,13.0,VIP,Multiple Categories,Online,High,4.0,2.0,North,Families,2.4270128225870833,19256.57883182909
2.8320683989860407,343.52241049290944,12.0,Regular,Single Category,Store,High,7.0,4.0,East,Families,1.5100793147176115,42811.97034421524
6.7210119534419785,59.52901785572076,2.0,Regular,Single Category,Both,High,11.0,9.0,West,Families,3.2154940228527744,8876.278544976809
1.1389286979719668,47.19439341593869,,Regular,Single Category,Store,Medium,1.0,7.0,South,Families,4.990078955993649,25725.923287746504
5.6106822041593425,104.80011003834892,66.0,Regular,Multiple Categories,Both,High,11.0,1.0,International,Retirees,7.381792243565486,36348.92781148355
5.608439516317549,247.12667122403857,42.0,New,Multiple Categories,Both,Medium,12.0,2.0,West,Retirees,6.817113212466867,
0.8167087025029638,321.13962558614503,15.0,VIP,Multiple Categories,Both,High,16.0,5.0,,Professionals,5.2811583517574165,30020.682702450482
4.579814212870492,162.72595549100865,27.0,VIP,Multiple Categories,Both,Medium,6.0,6.0,South,Young Adults,9.189795375849748,4883.3286947303395
3.7917686973300015,332.7010953153923,56.0,New,Single Category,Store,,3.0,,International,Professionals,1.8282292338305615,9747.258009500772
6.315698611271261,402.2624384611543,2.0,,,Store,Low,12.0,0.0,North,Young Adults,5.0744715696076295,36469.46155520956
6.880070034622431,175.0063900613875,,Regular,Multiple Categories,Store,High,5.0,9.0,International,,6.534862486985574,9187.340667721373
5.77997981763139,271.8307991444931,25.0,Regular,Multiple Categories,Store,High,1.0,6.0,West,Families,1.7511151076276634,
6.079244015641246,385.999602422618,43.0,New,Single Category,Both,Low,17.0,8.0,East,Retirees,2.7411120068984918,48550.60040079701
4.3237567220872215,495.1837123489079,70.0,New,Multiple Categories,Store,High,0.0,4.0,South,,2.431046169362975,17928.945183598036
6.676280410047283,136.34254954896232,,New,Single Category,Store,Medium,8.0,9.0,East,Retirees,9.007035806112055,47806.41905156131
1.4197518951533596,231.89396274504918,14.0,New,Single Category,Online,High,18.0,5.0,North,Professionals,6.571072041130572,45990.70764116238
2.466237087545208,34.148704312270084,66.0,VIP,Multiple Categories,Online,Medium,2.0,2.0,International,Young Adults,1.5302665943824567,20846.413139212345
1.526873016548279,332.91983291385463,15.0,VIP,Multiple Categories,Store,Medium,13.0,2.0,North,,7.487932129047884,5605.087245960887
7.84678561007694,44.64109560943782,66.0,New,Single Category,Store,Medium,7.0,0.0,East,Professionals,7.367284075920865,
4.318080335777072,394.29915380415304,36.0,New,Multiple Categories,,High,17.0,6.0,International,Families,3.0878344542686915,8949.844043323472
2.9934462122102303,192.37551552504323,25.0,Regular,Multiple Categories,Online,Low,15.0,7.0,North,Professionals,2.8820210687982453,5789.772419863464
0.735210139607599,176.98243715127606,49.0,VIP,Single Category,Online,Medium,8.0,5.0,West,Families,3.03354288237522,22328.4145220814
5.177647569730012,303.9181547078849,63.0,Churned,Multiple Categories,Both,Medium,18.0,5.0,South,Retirees,3.76347146748606,38612.41261321998
2.7487559094453844,124.94123281436393,49.0,VIP,Single Category,Both,Low,15.0,5.0,International,Retirees,5.08000895112619,48755.93051342224
5.89473775882911,294.53899155308346,70.0,,,Store,Low,17.0,9.0,International,Families,9.747365381370967,36313.37801555104
3.2264164397251576,200.55697966594727,38.0,VIP,Single Category,Store,Low,15.0,8.0,West,Retirees,2.9725796456003772,27460.454945054964
0.6406577960307581,,8.0,New,Multiple Categories,Online,High,18.0,8.0,East,Professionals,6.138806871242965,12122.20652571904
4.695582007964504,341.01792439658556,4.0,Regular,Single Category,Online,Low,1.0,0.0,South,Young Adults,7.887259620262075,7954.822636260123
1.0688548012456207,377.1009727411621,13.0,VIP,Single Category,Both,High,11.0,9.0,North,Families,8.574248992314153,22325.580578470195
1.135211568624817,454.2072975151908,,,Single Category,Online,Medium,18.0,6.0,North,Professionals,1.283847564242941,49086.0209153079
1.487641885515513,336.4810588331013,4.0,VIP,Single Category,Online,Medium,10.0,3.0,West,Professionals,5.74609642967556,26955.550611175357
4.93471869188841,407.99163725811684,71.0,Churned,Multiple Categories,Online,High,17.0,6.0,North,Professionals,8.87445056545102,26947.38730281432
6.821901611345655,221.53929354712218,40.0,Regular,Multiple Categories,,Medium,5.0,6.0,International,Professionals,5.957847695475913,44483.29306555782
5.254578209623021,493.2384010040151,48.0,Regular,Multiple Categories,Both,Low,0.0,1.0,East,,6.555143896349049,17798.832793836784
7.8111594603512735,171.71540352437617,17.0,Regular,Multiple Categories,Online,Medium,18.0,1.0,,Families,1.629351207675641,40700.47502135067
,318.28128149188564,36.0,Regular,Single Category,,High,14.0,5.0,International,Retirees,1.8652694819018856,40272.1352768258
,190.88105518908924,68.0,Churned,Single Category,Store,High,18.0,1.0,,Professionals,8.132228771946927,45225.37435004966
1.3279898177889387,419.93751342156696,45.0,VIP,Single Category,Online,Low,3.0,9.0,East,Professionals,9.721133253419339,40566.67020054984
6.287914030271479,,46.0,Regular,,Store,Medium,1.0,0.0,North,Professionals,,16165.372239966076
1.1122141340386817,171.65109169429323,69.0,VIP,Multiple Categories,,Low,17.0,3.0,International,Retirees,2.606798571967185,39932.59527882218
4.188704620838081,297.1604028357266,37.0,Churned,Single Category,Online,Low,,0.0,West,Families,4.273644132065279,17157.776982446685
7.1083243560649425,52.93976539743457,70.0,,Multiple Categories,Online,Medium,17.0,6.0,South,Retirees,6.183372553670054,47632.620431139534
2.204148214374772,102.95777469446561,55.0,Regular,Single Category,Both,Low,18.0,9.0,South,Retirees,4.246235248240575,44632.441898810925
1.0744983208420373,473.4191651314424,67.0,Churned,Multiple Categories,Both,Low,19.0,1.0,International,Young Adults,5.505064567794253,46233.9342681848
5.94463578438523,343.1609527320497,14.0,New,Single Category,Both,Medium,7.0,1.0,International,Young Adults,1.0774492508069362,2805.6312693541136
5.146708779258025,52.115112021957884,9.0,Churned,Single Category,Store,Medium,15.0,2.0,West,Professionals,3.5270036217592,48120.48382962242
7.623212397694119,469.8219857703112,50.0,New,Single Category,Store,High,9.0,7.0,North,Young Adults,4.437677552801503,2474.4177181575324
7.225558961927838,438.10598646392157,6.0,VIP,Single Category,Both,Low,5.0,0.0,West,Retirees,5.100998044563696,30591.675545854952
2.776985496731771,155.8906864749185,52.0,VIP,Single Category,Both,Low,12.0,8.0,North,Retirees,8.881496912169348,12439.793928364677
6.7654410859014975,86.00156567640748,55.0,Regular,Multiple Categories,Both,Medium,5.0,,West,Professionals,4.056099324382747,9055.697508910001
4.135688248906049,233.92844211960812,,Churned,Multiple Categories,,Low,19.0,,South,Young Adults,9.21963346952022,38805.078454616494
5.891745669936358,486.4399693769581,23.0,New,Multiple Categories,Online,Low,3.0,1.0,,Retirees,9.237812055671961,18301.390323493797
0.7659865302700293,129.17275835963684,49.0,VIP,Multiple Categories,Online,High,4.0,1.0,North,Families,9.364884153685935,37581.33594525819
4.476052810946413,48.95225254481052,23.0,New,Single Category,Online,Medium,5.0,8.0,West,Families,5.134993113555008,31270.16642824529
3.036560161673424,304.59511217345766,60.0,New,Single Category,Store,,5.0,9.0,South,Young Adults,9.290244955660697,35105.50049111371
6.151682098557035,331.4735224790561,18.0,Churned,Single Category,Store,High,6.0,4.0,West,Young Adults,9.953960895687793,32392.182404608273
1.2662318665421453,80.51603695638666,3.0,Regular,Single Category,Both,High,2.0,3.0,,Professionals,3.2132289648186463,42381.29984888874
6.227459020894718,281.61586713779974,2.0,Churned,Single Category,Store,Medium,13.0,6.0,East,Retirees,9.10628532491145,28540.242747330347
6.105584243742574,50.38571170750856,58.0,Regular,Multiple Categories,Online,High,6.0,7.0,West,Retirees,6.176415643567356,9828.773922847882
3.7390537300417788,358.4400938381599,57.0,Churned,Single Category,Both,Medium,6.0,6.0,International,Young Adults,7.958922034782586,44272.953280360874
4.553958905518462,312.3748371663112,17.0,Regular,Multiple Categories,Online,Low,19.0,8.0,East,Retirees,7.6945134800408574,48069.842991291625
3.848215221529357,115.72925512047034,,VIP,Single Category,Store,High,14.0,4.0,West,Young Adults,6.858014330789873,11987.488053902207
2.9892696425625997,421.96917483068637,28.0,Regular,Multiple Categories,Both,Low,14.0,8.0,West,Young Adults,1.3961970851574184,49673.741034249215
7.251990352925679,448.1126861716684,61.0,Churned,Single Category,Both,,7.0,8.0,North,Retirees,3.7512403092810263,29206.849503463705
6.605553990362392,327.591974219767,25.0,Regular,Single Category,Online,Low,4.0,0.0,East,Professionals,9.708584984096284,25367.78869015538
2.768867894474181,473.2709554117165,12.0,VIP,Single Category,Online,,8.0,9.0,South,Families,6.264548070775685,6986.980439444406
1.5807343465855461,273.44803453510065,53.0,Churned,Multiple Categories,Store,High,0.0,5.0,East,Young Adults,,29746.31884028634
7.864231813526428,54.18944078273705,69.0,Churned,Single Category,Online,Low,2.0,3.0,West,Young Adults,6.983029137094915,7126.428810488319
2.8819894829255204,208.83980953848254,47.0,New,Multiple Categories,Store,Medium,10.0,6.0,North,Retirees,3.472640803592489,18011.507726742355
7.945649773528807,471.4160280562653,4.0,Regular,Single Category,Store,Medium,0.0,0.0,West,Retirees,2.487532065957645,45040.97875896915
4.956987575380268,271.15550851188925,64.0,New,Multiple Categories,Both,High,7.0,9.0,West,Professionals,,3677.7498991032858
3.782977569700269,280.51232883524233,41.0,New,Multiple Categories,Both,High,2.0,8.0,East,Families,5.939997558358645,30570.399962080355
4.502993588461747,356.9432058932623,41.0,VIP,Multiple Categories,Both,High,0.0,6.0,South,Young Adults,8.261988635676435,15717.802474482482
3.9382213862198125,338.5591012935126,34.0,Regular,Single Category,Both,High,3.0,3.0,West,Professionals,3.8655307121691456,22765.979344366235
5.988849083113694,365.3891810769499,67.0,VIP,Single Category,Both,Medium,9.0,3.0,International,Families,7.693169771110764,21283.34644858344
4.777165173188142,430.6073292645423,14.0,Churned,Multiple Categories,Online,High,14.0,6.0,South,Professionals,5.957601924845903,32117.477269404117
6.026513011668315,330.77441645763184,63.0,VIP,Multiple Categories,Online,High,4.0,,West,Families,8.598929559668939,40278.970701728496
1.6716897927278056,152.32030378701285,39.0,VIP,Multiple Categories,Store,Medium,4.0,6.0,North,Professionals,9.679922473151807,20936.382132745144
3.870417676268361,387.6000022144252,4.0,Regular,Multiple Categories,Both,Low,15.0,6.0,East,Young Adults,3.8311696620975364,33073.62788113671
0.5414394993446482,,51.0,New,Multiple Categories,Store,,2.0,5.0,East,Professionals,,39507.10861895896
6.451161725538419,212.47661294958166,53.0,Churned,Single Category,Online,Low,4.0,3.0,South,Retirees,4.646334094047604,4807.8583780215085
5.366594851367333,472.452059955946,20.0,New,Multiple Categories,Store,Low,8.0,8.0,West,Professionals,2.0179005463054276,18350.029622869777
,397.6076157089765,68.0,Churned,Single Category,Online,Medium,16.0,4.0,East,Families,8.715650879600002,9492.760959553358
6.28377707172902,125.15714054129919,9.0,Churned,Single Category,Online,Low,14.0,0.0,South,Retirees,2.560250317901586,37026.19358725127
0.7735600764307442,373.28530173118435,34.0,New,Multiple Categories,Both,Medium,15.0,8.0,East,,1.319697716556244,36777.24761825068
5.605094275254394,491.4470643891897,37.0,Churned,Multiple Categories,Store,Low,1.0,6.0,East,Young Adults,9.716323324969036,10028.396749479956
5.898201232607713,406.03085839004984,69.0,Regular,Single Category,Online,Low,2.0,5.0,West,,7.484934648782797,18334.735951928196
0.6970936552922681,295.42170007834545,24.0,Regular,Single Category,Store,High,1.0,5.0,North,Professionals,6.474158500683078,30861.1227337596
3.853036377254006,452.2519768825416,8.0,,,,Medium,6.0,6.0,International,Families,9.349994132753263,45756.11132995665
4.025935829504235,118.14691606983841,68.0,VIP,Single Category,Both,High,7.0,7.0,East,Retirees,4.367764780842503,4479.842705806762
4.119271050095857,79.5764136859261,26.0,VIP,Multiple Categories,Both,Low,10.0,0.0,International,Families,4.564191685625356,35265.685420972404
,103.2069472877138,45.0,Regular,Single Category,Store,High,2.0,5.0,South,Families,3.649827303727652,13380.210111056009
2.3527711572213224,48.723430278478446,11.0,New,Multiple Categories,Both,Low,19.0,1.0,West,Retirees,8.34883278197607,2721.7790490792213
3.430289657391911,460.0973865098514,39.0,Regular,Single Category,Store,High,1.0,7.0,North,Families,2.313766021631476,23730.11933593025
4.997899749975819,50.604359186350564,60.0,New,Multiple Categories,Store,Medium,5.0,6.0,West,Young Adults,6.046785499938789,25224.901422108796
7.463569087887319,241.65675521126923,5.0,Regular,Single Category,Online,High,15.0,5.0,West,Young Adults,9.340961376748623,
5.226756489195926,234.18741576242408,,New,Multiple Categories,Online,High,11.0,9.0,International,Young Adults,9.118366152957751,6518.6182737310855
2.7596773323712966,112.79637367993604,43.0,New,Multiple Categories,Online,Low,15.0,9.0,International,Retirees,3.7516290253732416,8532.836094199973
5.181721641474434,251.54949369690567,25.0,Regular,Single Category,Online,Low,3.0,0.0,South,,1.8294816120075619,11177.179129803057
0.5274645791421302,151.01761197764984,3.0,VIP,Single Category,Both,Low,4.0,6.0,South,Professionals,3.472680051080512,
1.4164466791301495,286.77877825193303,15.0,,Multiple Categories,Both,Low,0.0,8.0,South,Young Adults,7.772241337412534,11705.702341094264
2.0485095016915373,168.7393064814851,36.0,New,Multiple Categories,Store,Low,,3.0,East,Families,3.5148933223034113,39228.48045972076
7.315381881200611,213.5522438114384,27.0,Regular,Single Category,Online,Low,19.0,2.0,South,Professionals,7.344334622031686,12705.531333319313
3.699186061650987,491.22822026040535,59.0,Churned,Multiple Categories,Store,High,3.0,8.0,International,Young Adults,5.181353208138341,5681.942958170281
4.199969553293794,,8.0,Regular,Multiple Categories,Both,Medium,16.0,4.0,East,Families,1.4739189733731766,29180.5238260482
4.059226620918999,473.02296186283866,9.0,Regular,Multiple Categories,Both,Low,18.0,3.0,North,Families,3.758893511539087,
3.4773873251894116,187.5242357110017,31.0,New,Single Category,,Low,4.0,1.0,East,Families,3.8728549311180136,44329.99049201061
5.402463403631598,341.7359528023327,54.0,Churned,Single Category,,Low,0.0,7.0,North,Professionals,1.2326671790054835,15344.292776371809
3.0137789528335617,224.21729326537562,9.0,Regular,Multiple Categories,Online,,7.0,7.0,North,Retirees,6.406092095488085,22944.902768682117
4.746750728605062,103.5849468339429,58.0,New,Single Category,Both,,15.0,7.0,East,Retirees,7.953772720666972,
5.6638608831053165,346.09201346763075,16.0,Churned,Single Category,Online,Medium,19.0,0.0,West,Families,8.424449459026393,29195.870716582645
0.8279072724050722,315.24372769735226,17.0,New,Single Category,Store,Low,7.0,9.0,West,Retirees,4.590819509996024,39890.30997686441
,47.196027164462194,9.0,VIP,Multiple Categories,Store,Medium,12.0,5.0,West,Young Adults,8.593909659292477,28706.14163067642
6.794025754934232,200.1526814520035,33.0,Churned,Multiple Categories,Both,Medium,0.0,6.0,East,Retirees,7.719959896187924,
0.5019038649686167,499.25570826995323,3.0,VIP,Multiple Categories,Store,Medium,,4.0,West,Retirees,7.194232383872599,12110.542137535826
1.5801934750510969,73.23816121346846,34.0,Regular,Multiple Categories,Online,,10.0,7.0,South,Young Adults,6.920163822407111,45445.14746432242
2.531887272316891,267.30116226467817,65.0,VIP,Single Category,Both,Medium,18.0,3.0,East,Families,7.84288290381718,25005.07046339472
4.1616118399822115,83.6156353073632,47.0,New,Single Category,Store,Medium,17.0,2.0,International,Retirees,4.283635689805388,1190.200961673597
7.365311355923013,208.69049524025243,18.0,Churned,Single Category,Store,High,6.0,7.0,West,Retirees,5.351299381331833,24984.22969555287
4.44147958684657,81.03628848142758,11.0,New,,Online,Low,13.0,6.0,East,,8.6638776111312,42352.93646553917
5.86504982361918,436.1206641105105,53.0,Regular,Multiple Categories,Both,Low,4.0,2.0,International,Families,4.212359044110877,48179.93799706263
7.895075809470748,44.43004973502184,58.0,New,Multiple Categories,Both,,3.0,1.0,South,Young Adults,7.678502656158705,19887.894153341447
5.029574326144731,171.35126603622163,68.0,New,Multiple Categories,Online,Low,16.0,5.0,East,Professionals,,43877.11980398666
3.0835017066979407,144.98606605676994,41.0,Regular,Single Category,Store,Medium,2.0,6.0,East,Professionals,6.132415970401838,7818.149015338745
6.117355723776198,244.82612396195373,27.0,,Single Category,Both,High,11.0,4.0,North,Professionals,5.95883262751342,
3.642492157519295,418.92144947028,71.0,Regular,Multiple Categories,Both,High,4.0,6.0,International,Families,4.420245641326719,
5.8372189555750005,,47.0,Churned,Single Category,Both,High,1.0,5.0,North,Retirees,7.994800347819797,21759.89296342128
4.66598652700976,480.82543776414144,20.0,Regular,Multiple Categories,Both,High,13.0,8.0,North,Retirees,4.350514741454119,23743.495686685997
5.882868496068056,470.5144801408871,13.0,New,Single Category,Both,Medium,6.0,2.0,International,Professionals,2.6638131434121535,40456.647687306846
5.4530098332416905,192.81856789917177,33.0,Churned,Single Category,Store,High,14.0,4.0,,,1.3559836639043599,43494.95850859863
7.934173977573249,183.10930809195537,35.0,Churned,Multiple Categories,Online,Low,7.0,2.0,International,Families,2.953197770197091,25012.33003666576
7.7568821996933845,,43.0,Churned,Multiple Categories,Online,High,9.0,7.0,North,Young Adults,4.71800425546434,
3.206059517343852,439.10195670008153,21.0,Churned,Multiple Categories,Online,Medium,4.0,9.0,East,Professionals,7.964429061681201,24543.016793858777
4.3591247327480485,413.48806844868295,45.0,Regular,Multiple Categories,Both,High,3.0,8.0,West,Young Adults,7.495589511139065,47745.2423711764
6.14235695865886,162.3542478386718,11.0,Churned,Multiple Categories,Online,High,6.0,2.0,South,Professionals,5.554402217401856,29662.345232246193
6.597942136943004,91.5892192347205,5.0,Churned,Single Category,Online,Low,12.0,9.0,North,Retirees,4.846237488266933,29565.26168521651
1.3220396112177668,173.37849768433807,55.0,Regular,Single Category,,Medium,15.0,9.0,South,Young Adults,9.081278415919133,30410.24023614677
5.792491629296563,180.88432574672512,67.0,New,Multiple Categories,Online,Medium,15.0,6.0,North,Professionals,9.917510091578109,41370.729015826284
5.894699012647906,185.62933340011102,61.0,VIP,Multiple Categories,Store,High,6.0,4.0,South,Retirees,7.1624871603570215,44940.34919392827
1.1895872901012012,415.32246088474415,5.0,VIP,Multiple Categories,Online,Medium,13.0,2.0,West,Retirees,1.5317623939905674,9352.828826358776
4.758049923097906,181.02687926369433,42.0,New,Multiple Categories,Both,High,5.0,0.0,,Young Adults,5.059956205511784,22444.973172518516
6.369538000045366,159.30500619669579,37.0,Churned,Single Category,Online,Low,2.0,9.0,East,Families,2.706552542564627,40980.08790099708
4.493201668599277,183.21446432447055,20.0,Churned,Multiple Categories,Both,Low,18.0,1.0,International,Professionals,1.5935209804925736,20962.69062417323
